MSSV,HoVaTen,NgaySinh,Email,SDT,MaLop
SV03939,Duong Huu Phuong,15/07/2002,duonghuuphuong.sv03939@school.edu.vn,0969293309,L079
SV03940,Phan Ngoc Hung,23/10/2003,phanngochung.sv03940@school.edu.vn,0955619225,L079
SV03941,Truong Quang Giang,24/09/2002,truongquanggiang.sv03941@school.edu.vn,0862236501,L079
SV03942,Nguyen Thi Phuc,13/04/2002,nguyenthiphuc.sv03942@school.edu.vn,0758303943,L079
SV03943,Truong Duc Phuong,15/12/2003,truongducphuong.sv03943@school.edu.vn,0539981872,L079
SV03944,Duong Van Xuan,13/12/2002,duongvanxuan.sv03944@school.edu.vn,0933863083,L079
SV03945,Le Quang Xuan,19/01/2003,lequangxuan.sv03945@school.edu.vn,0354579034,L079
SV03946,Pham Duc Hung,15/06/2003,phamduchung.sv03946@school.edu.vn,0631159136,L079
SV03947,Luu Thi Tuan,25/10/2003,luuthituan.sv03947@school.edu.vn,0415422707,L079
SV03948,Vu Huu Nhu,14/02/2004,vuhuunhu.sv03948@school.edu.vn,0883007432,L079
SV03949,Dinh Kim Giang,09/10/2005,dinhkimgiang.sv03949@school.edu.vn,0951368430,L079
SV03950,Bui Quang Long,25/02/2005,buiquanglong.sv03950@school.edu.vn,0694023554,L080
SV03951,Do Ngoc Ha,08/08/2003,dongocha.sv03951@school.edu.vn,0338016168,L080
SV03952,Mai Thi An,06/12/2005,maithian.sv03952@school.edu.vn,0722033577,L080
SV03953,Vu Huu Dung,15/03/2003,vuhuudung.sv03953@school.edu.vn,0679007062,L080
SV03954,Dinh Gia Lan,09/10/2003,dinhgialan.sv03954@school.edu.vn,0617548844,L080
SV03955,Vu Quang Thy,07/10/2003,vuquangthy.sv03955@school.edu.vn,0743706765,L080
SV03956,Hoang Huu Phuong,16/05/2003,hoanghuuphuong.sv03956@school.edu.vn,0784771952,L080
SV03957,Nguyen Thi Nam,03/10/2002,nguyenthinam.sv03957@school.edu.vn,0983150358,L080
SV03958,Mai Huu Phuong,05/05/2002,maihuuphuong.sv03958@school.edu.vn,0533528947,L080
SV03959,Vo Duc Hoa,07/05/2002,voduchoa.sv03959@school.edu.vn,0915274349,L080
SV03960,Bui Huu Linh,03/11/2003,buihuulinh.sv03960@school.edu.vn,0835422918,L080
SV03961,Truong Duc Thy,05/03/2005,truongducthy.sv03961@school.edu.vn,0841170479,L080
SV03962,Duong Huu Lan,21/06/2005,duonghuulan.sv03962@school.edu.vn,0922924635,L080
SV03963,Le Minh Oanh,26/11/2003,leminhoanh.sv03963@school.edu.vn,0357317187,L080
SV03964,Nguyen Ngoc Uyen,15/01/2003,nguyenngocuyen.sv03964@school.edu.vn,0814120105,L080
SV03965,Duong Quang Nam,03/02/2002,duongquangnam.sv03965@school.edu.vn,0693962434,L080
SV03966,Luu Van Vinh,10/10/2005,luuvanvinh.sv03966@school.edu.vn,0832173389,L080
SV03967,Mai Kim Oanh,27/03/2004,maikimoanh.sv03967@school.edu.vn,0690959900,L080
SV03968,Ngo Gia Thy,20/06/2004,ngogiathy.sv03968@school.edu.vn,0981923687,L080
SV03969,Le Minh Khanh,25/11/2005,leminhkhanh.sv03969@school.edu.vn,0988994246,L080
SV03970,Truong Huu Tuan,12/02/2002,truonghuutuan.sv03970@school.edu.vn,0657997047,L080
SV03971,Pham Thi Trang,05/08/2005,phamthitrang.sv03971@school.edu.vn,0474620111,L080
SV03972,Pham Thanh Vinh,13/02/2003,phamthanhvinh.sv03972@school.edu.vn,0857786717,L080
SV03973,Le Ngoc Linh,26/07/2002,lengoclinh.sv03973@school.edu.vn,0425500489,L080
SV03974,Dinh Quang Long,17/04/2003,dinhquanglong.sv03974@school.edu.vn,0711188340,L080
SV03975,Vu Duc Giang,19/12/2005,vuducgiang.sv03975@school.edu.vn,0762969334,L080
SV03976,Vu Ngoc Trang,24/04/2002,vungoctrang.sv03976@school.edu.vn,0585910263,L080
SV03977,Dang Huu Hoa,04/01/2002,danghuuhoa.sv03977@school.edu.vn,0540489666,L080
SV03978,Le Huu Hoa,06/01/2003,lehuuhoa.sv03978@school.edu.vn,0791968378,L080
SV03979,Ho Minh Tuan,15/10/2002,hominhtuan.sv03979@school.edu.vn,0496165435,L080
SV03980,Ho Van Bao,06/09/2002,hovanbao.sv03980@school.edu.vn,0431409431,L080
SV03981,Pham Duc Quyen,21/01/2002,phamducquyen.sv03981@school.edu.vn,0953593587,L080
SV03982,Vu Quang Son,23/02/2004,vuquangson.sv03982@school.edu.vn,0864119814,L080
SV03983,Phan Duc Nhu,01/02/2002,phanducnhu.sv03983@school.edu.vn,0834713409,L080
SV03984,Pham Thi Vinh,04/02/2002,phamthivinh.sv03984@school.edu.vn,0815510765,L080
SV03985,Ngo Duc Thy,15/12/2003,ngoducthy.sv03985@school.edu.vn,0539990429,L080
SV03986,Bui Quang An,19/01/2004,buiquangan.sv03986@school.edu.vn,0661875925,L080
SV03987,Le Duc Vinh,08/08/2004,leducvinh.sv03987@school.edu.vn,0727325148,L080
SV03988,Ly Ngoc Oanh,07/02/2005,lyngocoanh.sv03988@school.edu.vn,0480162571,L080
SV03989,Ho Gia Yen,12/10/2005,hogiayen.sv03989@school.edu.vn,0816077419,L080
SV03990,Ho Huu Giang,05/11/2005,hohuugiang.sv03990@school.edu.vn,0741281229,L080
SV03991,Tran Thi Giang,01/12/2005,tranthigiang.sv03991@school.edu.vn,0831709572,L080
SV03992,Duong Thanh Phuong,27/07/2004,duongthanhphuong.sv03992@school.edu.vn,0551766757,L080
SV03993,Duong Thanh Long,15/01/2004,duongthanhlong.sv03993@school.edu.vn,0462832750,L080
SV03994,Bui Minh Khanh,09/06/2002,buiminhkhanh.sv03994@school.edu.vn,0978150790,L080
SV03995,Vo Quang Quyen,06/10/2003,voquangquyen.sv03995@school.edu.vn,0662272677,L080
SV03996,Vo Quang Lan,01/01/2004,voquanglan.sv03996@school.edu.vn,0369748185,L080
SV03997,Truong Van Bao,20/02/2004,truongvanbao.sv03997@school.edu.vn,0984057536,L080
SV03998,Le Minh Nam,23/02/2003,leminhnam.sv03998@school.edu.vn,0365778601,L080
SV03999,Ho Gia Giang,19/12/2004,hogiagiang.sv03999@school.edu.vn,0886140149,L080
SV04000,Pham Quang Truc,17/03/2005,phamquangtruc.sv04000@school.edu.vn,0898586332,L081
SV04001,Dang Kim Nhu,12/10/2005,dangkimnhu.sv04001@school.edu.vn,0736772187,L081
SV04002,Nguyen Van Khanh,19/02/2003,nguyenvankhanh.sv04002@school.edu.vn,0434230815,L081
SV04003,Nguyen Kim Phuong,18/02/2002,nguyenkimphuong.sv04003@school.edu.vn,0420939638,L081
SV04004,Nguyen Thi Binh,15/11/2004,nguyenthibinh.sv04004@school.edu.vn,0451571799,L081
SV04005,Dang Quang Nhu,02/06/2005,dangquangnhu.sv04005@school.edu.vn,0396308955,L081
SV04006,Truong Minh Phuc,07/06/2004,truongminhphuc.sv04006@school.edu.vn,0696321183,L081
SV04007,Hoang Gia Nam,10/12/2003,hoanggianam.sv04007@school.edu.vn,0622313474,L081
SV04008,Phan Huu Dung,02/10/2002,phanhuudung.sv04008@school.edu.vn,0495425139,L081
SV04009,Truong Ngoc Mai,26/12/2005,truongngocmai.sv04009@school.edu.vn,0790992286,L081
SV04010,Ho Ngoc An,08/10/2004,hongocan.sv04010@school.edu.vn,0947424309,L081
SV04011,Ngo Minh Xuan,04/06/2005,ngominhxuan.sv04011@school.edu.vn,0883901018,L081
SV04012,Dang Thanh Quyen,27/12/2003,dangthanhquyen.sv04012@school.edu.vn,0667500925,L081
SV04013,Bui Kim Khanh,23/05/2003,buikimkhanh.sv04013@school.edu.vn,0421151755,L081
SV04014,Vo Van Binh,17/05/2003,vovanbinh.sv04014@school.edu.vn,0462823903,L081
SV04015,Vo Ngoc Phuc,18/03/2002,vongocphuc.sv04015@school.edu.vn,0658169168,L081
SV04016,Tran Thanh Xuan,21/07/2004,tranthanhxuan.sv04016@school.edu.vn,0480751492,L081
SV04017,Phan Huu Trang,07/03/2002,phanhuutrang.sv04017@school.edu.vn,0589951046,L081
SV04018,Ho Van Thy,28/02/2004,hovanthy.sv04018@school.edu.vn,0418897032,L081
SV04019,Dang Thi Cuong,16/02/2002,dangthicuong.sv04019@school.edu.vn,0394608661,L081
SV04020,Luu Huu Son,26/02/2003,luuhuuson.sv04020@school.edu.vn,0355528805,L081
SV04021,Do Van Hung,16/04/2002,dovanhung.sv04021@school.edu.vn,0484972841,L081
SV04022,Nguyen Huu Ha,09/12/2002,nguyenhuuha.sv04022@school.edu.vn,0619229012,L081
SV04023,Hoang Huu Quyen,24/06/2003,hoanghuuquyen.sv04023@school.edu.vn,0867630434,L081
SV04024,Ngo Gia Phuong,12/01/2002,ngogiaphuong.sv04024@school.edu.vn,0788729506,L081
SV04025,Hoang Ngoc Nam,16/05/2002,hoangngocnam.sv04025@school.edu.vn,0942699738,L081
SV04026,Phan Van Long,15/07/2004,phanvanlong.sv04026@school.edu.vn,0516052889,L081
SV04027,Vu Duc Yen,18/07/2005,vuducyen.sv04027@school.edu.vn,0410303418,L081
SV04028,Dinh Huu Dung,14/03/2004,dinhhuudung.sv04028@school.edu.vn,0988265375,L081
SV04029,Nguyen Huu Giang,16/03/2004,nguyenhuugiang.sv04029@school.edu.vn,0891422476,L081
SV04030,Tran Van Vinh,14/08/2004,tranvanvinh.sv04030@school.edu.vn,0520746740,L081
SV04031,Phan Van Trang,22/06/2004,phanvantrang.sv04031@school.edu.vn,0626820275,L081
SV04032,Le Kim Lan,13/05/2005,lekimlan.sv04032@school.edu.vn,0345268599,L081
SV04033,Phan Huu Thy,01/08/2005,phanhuuthy.sv04033@school.edu.vn,0622199112,L081
SV04034,Dinh Duc Giang,07/04/2002,dinhducgiang.sv04034@school.edu.vn,0665217866,L081
SV04035,Phan Kim Oanh,20/10/2003,phankimoanh.sv04035@school.edu.vn,0439690211,L081
SV04036,Ho Huu Truc,10/05/2005,hohuutruc.sv04036@school.edu.vn,0473532321,L081
SV04037,Hoang Thanh Em,18/10/2005,hoangthanhem.sv04037@school.edu.vn,0510026323,L081
SV04038,Mai Thanh Son,28/12/2004,maithanhson.sv04038@school.edu.vn,0351887433,L081
SV04039,Dinh Kim Yen,16/05/2005,dinhkimyen.sv04039@school.edu.vn,0765274685,L081
SV04040,Dinh Duc Vinh,11/10/2002,dinhducvinh.sv04040@school.edu.vn,0478138983,L081
SV04041,Hoang Kim An,28/03/2002,hoangkiman.sv04041@school.edu.vn,0411519845,L081
SV04042,Pham Van Quyen,28/01/2002,phamvanquyen.sv04042@school.edu.vn,0377742212,L081
SV04043,Nguyen Quang Khanh,16/04/2005,nguyenquangkhanh.sv04043@school.edu.vn,0313983829,L081
SV04044,Ngo Quang Phuc,06/11/2004,ngoquangphuc.sv04044@school.edu.vn,0444403672,L081
SV04045,Dang Thanh Uyen,14/11/2002,dangthanhuyen.sv04045@school.edu.vn,0919897016,L081
SV04046,Ngo Van Lan,27/06/2004,ngovanlan.sv04046@school.edu.vn,0933126607,L081
SV04047,Nguyen Thi Hung,21/09/2003,nguyenthihung.sv04047@school.edu.vn,0830040238,L081
SV04048,Vu Gia Uyen,18/06/2004,vugiauyen.sv04048@school.edu.vn,0739553340,L081
SV04049,Nguyen Kim Nhu,16/01/2002,nguyenkimnhu.sv04049@school.edu.vn,0639184758,L081
SV04050,Ho Duc Mai,09/05/2002,hoducmai.sv04050@school.edu.vn,0533759001,L082
SV04051,Dang Van Dung,12/02/2003,dangvandung.sv04051@school.edu.vn,0664805934,L082
SV04052,Phan Gia Em,23/11/2003,phangiaem.sv04052@school.edu.vn,0380522148,L082
SV04053,Duong Thi Xuan,25/04/2003,duongthixuan.sv04053@school.edu.vn,0317511737,L082
SV04054,Tran Kim Em,10/06/2005,trankimem.sv04054@school.edu.vn,0790235481,L082
SV04055,Truong Minh Truc,01/11/2002,truongminhtruc.sv04055@school.edu.vn,0421857674,L082
SV04056,Do Duc Bao,16/02/2002,doducbao.sv04056@school.edu.vn,0641573974,L082
SV04057,Truong Duc Lan,20/07/2005,truongduclan.sv04057@school.edu.vn,0415703567,L082
SV04058,Pham Gia Lan,28/05/2004,phamgialan.sv04058@school.edu.vn,0441166982,L082
SV04059,Dinh Thanh Oanh,07/06/2005,dinhthanhoanh.sv04059@school.edu.vn,0346452296,L082
SV04060,Nguyen Huu Cuong,13/12/2003,nguyenhuucuong.sv04060@school.edu.vn,0594706323,L082
SV04061,Duong Duc Thy,11/05/2002,duongducthy.sv04061@school.edu.vn,0384868649,L082
SV04062,Ly Ngoc Oanh,04/07/2002,lyngocoanh.sv04062@school.edu.vn,0361773116,L082
SV04063,Nguyen Thanh Binh,26/12/2004,nguyenthanhbinh.sv04063@school.edu.vn,0974100137,L082
SV04064,Phan Quang An,14/10/2002,phanquangan.sv04064@school.edu.vn,0623690980,L082
SV04065,Luu Van Em,07/09/2002,luuvanem.sv04065@school.edu.vn,0769337190,L082
SV04066,Hoang Huu Nhu,24/04/2004,hoanghuunhu.sv04066@school.edu.vn,0481646173,L082
SV04067,Do Thi Mai,07/01/2005,dothimai.sv04067@school.edu.vn,0450896425,L082
SV04068,Mai Quang Vinh,11/01/2002,maiquangvinh.sv04068@school.edu.vn,0569727783,L082
SV04069,Mai Van Trang,18/08/2004,maivantrang.sv04069@school.edu.vn,0662938795,L082
SV04070,Truong Minh Thy,07/12/2004,truongminhthy.sv04070@school.edu.vn,0321877942,L082
SV04071,Do Gia Em,11/10/2005,dogiaem.sv04071@school.edu.vn,0932236562,L082
SV04072,Le Van Lan,13/01/2002,levanlan.sv04072@school.edu.vn,0612545668,L082
SV04073,Duong Minh Hoa,22/12/2004,duongminhhoa.sv04073@school.edu.vn,0329910774,L082
SV04074,Le Thanh Thy,08/04/2003,lethanhthy.sv04074@school.edu.vn,0592941131,L082
SV04075,Nguyen Huu Mai,18/11/2003,nguyenhuumai.sv04075@school.edu.vn,0683470019,L082
SV04076,Mai Gia Khanh,06/07/2003,maigiakhanh.sv04076@school.edu.vn,0451011981,L082
SV04077,Luu Thi Linh,07/10/2005,luuthilinh.sv04077@school.edu.vn,0798035103,L082
SV04078,Ngo Thi Binh,06/05/2004,ngothibinh.sv04078@school.edu.vn,0475251588,L082
SV04079,Luu Ngoc Trang,07/04/2004,luungoctrang.sv04079@school.edu.vn,0439217330,L082
SV04080,Ngo Duc Mai,19/02/2005,ngoducmai.sv04080@school.edu.vn,0551716526,L082
SV04081,Nguyen Huu Tuan,24/05/2002,nguyenhuutuan.sv04081@school.edu.vn,0792933753,L082
SV04082,Hoang Quang Son,16/10/2005,hoangquangson.sv04082@school.edu.vn,0792548368,L082
SV04083,Vo Huu Xuan,04/11/2004,vohuuxuan.sv04083@school.edu.vn,0890735449,L082
SV04084,Dang Thi Vinh,08/11/2004,dangthivinh.sv04084@school.edu.vn,0644806025,L082
SV04085,Luu Thanh Tuan,01/12/2005,luuthanhtuan.sv04085@school.edu.vn,0564240720,L082
SV04086,Truong Huu An,21/02/2004,truonghuuan.sv04086@school.edu.vn,0467157633,L082
SV04087,Nguyen Thi Dung,02/12/2003,nguyenthidung.sv04087@school.edu.vn,0750746257,L082
SV04088,Mai Ngoc Long,28/09/2005,maingoclong.sv04088@school.edu.vn,0452512053,L082
SV04089,Pham Gia Phuong,16/11/2005,phamgiaphuong.sv04089@school.edu.vn,0315880301,L082
SV04090,Ho Thanh Nam,14/02/2004,hothanhnam.sv04090@school.edu.vn,0832679270,L082
SV04091,Luu Duc Em,22/03/2005,luuducem.sv04091@school.edu.vn,0416341664,L082
SV04092,Duong Gia Long,23/06/2005,duonggialong.sv04092@school.edu.vn,0657618668,L082
SV04093,Ngo Thanh Nam,18/02/2002,ngothanhnam.sv04093@school.edu.vn,0435647665,L082
SV04094,Truong Quang Oanh,18/02/2005,truongquangoanh.sv04094@school.edu.vn,0544055017,L082
SV04095,Ngo Quang Binh,05/09/2003,ngoquangbinh.sv04095@school.edu.vn,0651549250,L082
SV04096,Ly Quang Nhu,12/10/2002,lyquangnhu.sv04096@school.edu.vn,0634076555,L082
SV04097,Phan Huu Trang,04/05/2002,phanhuutrang.sv04097@school.edu.vn,0548665685,L082
SV04098,Ly Thi Vinh,09/09/2002,lythivinh.sv04098@school.edu.vn,0934695092,L082
SV04099,Ly Ngoc Lan,08/06/2002,lyngoclan.sv04099@school.edu.vn,0412655839,L082
SV04100,Truong Thanh Mai,17/02/2004,truongthanhmai.sv04100@school.edu.vn,0622994800,L083
SV04101,Ly Ngoc Phuc,10/02/2005,lyngocphuc.sv04101@school.edu.vn,0731104406,L083
SV04102,Nguyen Kim Hoa,07/10/2002,nguyenkimhoa.sv04102@school.edu.vn,0615172834,L083
SV04103,Do Gia Dung,26/02/2005,dogiadung.sv04103@school.edu.vn,0494303988,L083
SV04104,Duong Gia Lan,18/11/2004,duonggialan.sv04104@school.edu.vn,0594990531,L083
SV04105,Bui Thanh Uyen,23/03/2002,buithanhuyen.sv04105@school.edu.vn,0826777347,L083
SV04106,Dinh Quang Trang,16/03/2003,dinhquangtrang.sv04106@school.edu.vn,0345299008,L083
SV04107,Bui Gia Son,20/08/2003,buigiason.sv04107@school.edu.vn,0911623462,L083
SV04108,Do Kim Cuong,09/05/2002,dokimcuong.sv04108@school.edu.vn,0440960989,L083
SV04109,Mai Huu Long,21/04/2004,maihuulong.sv04109@school.edu.vn,0596787331,L083
SV04110,Ngo Quang Trang,11/06/2004,ngoquangtrang.sv04110@school.edu.vn,0370007573,L083
SV04111,Ly Thanh Yen,28/02/2003,lythanhyen.sv04111@school.edu.vn,0350201847,L083
SV04112,Ly Thi Linh,02/04/2003,lythilinh.sv04112@school.edu.vn,0996152585,L083
SV04113,Bui Kim Nam,09/02/2004,buikimnam.sv04113@school.edu.vn,0732451892,L083
SV04114,Phan Kim Truc,02/06/2003,phankimtruc.sv04114@school.edu.vn,0991799799,L083
SV04115,Hoang Minh Nam,15/02/2002,hoangminhnam.sv04115@school.edu.vn,0562747024,L083
SV04116,Nguyen Quang Thy,15/05/2003,nguyenquangthy.sv04116@school.edu.vn,0563508453,L083
SV04117,Duong Duc Phuc,04/06/2004,duongducphuc.sv04117@school.edu.vn,0921399350,L083
SV04118,Bui Thanh Hoa,18/10/2002,buithanhhoa.sv04118@school.edu.vn,0697284777,L083
SV04119,Hoang Van Quyen,11/01/2003,hoangvanquyen.sv04119@school.edu.vn,0820362116,L083
SV04120,Vu Duc Mai,22/09/2004,vuducmai.sv04120@school.edu.vn,0512008836,L083
SV04121,Phan Minh Nhu,13/09/2003,phanminhnhu.sv04121@school.edu.vn,0657185447,L083
SV04122,Dang Ngoc Giang,24/12/2002,dangngocgiang.sv04122@school.edu.vn,0843520090,L083
SV04123,Ho Duc Linh,04/11/2003,hoduclinh.sv04123@school.edu.vn,0854244200,L083
SV04124,Vo Thanh Hoa,08/12/2004,vothanhhoa.sv04124@school.edu.vn,0732121663,L083
SV04125,Hoang Thanh Xuan,23/04/2005,hoangthanhxuan.sv04125@school.edu.vn,0813468997,L083
SV04126,Ngo Thanh Linh,26/01/2005,ngothanhlinh.sv04126@school.edu.vn,0922556422,L083
SV04127,Dinh Quang Truc,16/02/2004,dinhquangtruc.sv04127@school.edu.vn,0990198220,L083
SV04128,Ngo Quang Truc,18/12/2003,ngoquangtruc.sv04128@school.edu.vn,0395444174,L083
SV04129,Ly Thi Oanh,13/08/2003,lythioanh.sv04129@school.edu.vn,0493176605,L083
SV04130,Dinh Quang Truc,16/04/2004,dinhquangtruc.sv04130@school.edu.vn,0812763536,L083
SV04131,Dinh Ngoc Truc,07/11/2005,dinhngoctruc.sv04131@school.edu.vn,0477412307,L083
SV04132,Dinh Thanh Uyen,23/03/2005,dinhthanhuyen.sv04132@school.edu.vn,0951225398,L083
SV04133,Vo Van Dung,02/04/2002,vovandung.sv04133@school.edu.vn,0595923120,L083
SV04134,Pham Huu Lan,04/04/2004,phamhuulan.sv04134@school.edu.vn,0450393900,L083
SV04135,Duong Kim Son,20/05/2002,duongkimson.sv04135@school.edu.vn,0781885260,L083
SV04136,Bui Huu Uyen,01/08/2002,buihuuuyen.sv04136@school.edu.vn,0435885644,L083
SV04137,Vu Duc Nam,02/09/2005,vuducnam.sv04137@school.edu.vn,0315074978,L083
SV04138,Ngo Thi Lan,07/02/2005,ngothilan.sv04138@school.edu.vn,0772053439,L083
SV04139,Dinh Van Phuong,27/07/2005,dinhvanphuong.sv04139@school.edu.vn,0764821031,L083
SV04140,Duong Kim Lan,22/08/2005,duongkimlan.sv04140@school.edu.vn,0691333241,L083
SV04141,Bui Duc Mai,05/07/2002,buiducmai.sv04141@school.edu.vn,0812875899,L083
SV04142,Ly Duc Bao,08/12/2002,lyducbao.sv04142@school.edu.vn,0733300374,L083
SV04143,Hoang Thanh Oanh,22/04/2004,hoangthanhoanh.sv04143@school.edu.vn,0688195682,L083
SV04144,Dang Kim Tuan,14/11/2005,dangkimtuan.sv04144@school.edu.vn,0396114054,L083
SV04145,Vo Van Uyen,27/02/2002,vovanuyen.sv04145@school.edu.vn,0636780247,L083
SV04146,Mai Ngoc Thy,14/06/2005,maingocthy.sv04146@school.edu.vn,0491291491,L083
SV04147,Tran Thi Xuan,21/04/2003,tranthixuan.sv04147@school.edu.vn,0638863512,L083
SV04148,Dang Minh Linh,25/06/2002,dangminhlinh.sv04148@school.edu.vn,0887062786,L083
SV04149,Dinh Duc Oanh,23/04/2002,dinhducoanh.sv04149@school.edu.vn,0487875947,L083
SV04150,Dinh Thi Yen,26/11/2005,dinhthiyen.sv04150@school.edu.vn,0654767690,L084
SV04151,Duong Gia Linh,05/04/2005,duonggialinh.sv04151@school.edu.vn,0468306641,L084
SV04152,Bui Kim Lan,08/04/2002,buikimlan.sv04152@school.edu.vn,0728655928,L084
SV04153,Mai Thanh Khanh,15/07/2002,maithanhkhanh.sv04153@school.edu.vn,0331933524,L084
SV04154,Duong Ngoc Phuong,22/05/2003,duongngocphuong.sv04154@school.edu.vn,0723003021,L084
SV04155,Hoang Van Linh,19/05/2005,hoangvanlinh.sv04155@school.edu.vn,0519901345,L084
SV04156,Le Thi Vinh,26/04/2005,lethivinh.sv04156@school.edu.vn,0483433415,L084
SV04157,Vo Van Binh,26/03/2004,vovanbinh.sv04157@school.edu.vn,0694863506,L084
SV04158,Duong Minh Truc,15/01/2005,duongminhtruc.sv04158@school.edu.vn,0634841410,L084
SV04159,Duong Ngoc Giang,28/03/2003,duongngocgiang.sv04159@school.edu.vn,0977362645,L084
SV04160,Hoang Minh Trang,27/03/2002,hoangminhtrang.sv04160@school.edu.vn,0792293837,L084
SV04161,Dang Gia Uyen,16/06/2004,danggiauyen.sv04161@school.edu.vn,0638290157,L084
SV04162,Ngo Kim Ha,05/11/2003,ngokimha.sv04162@school.edu.vn,0646484334,L084
SV04163,Bui Gia Phuong,12/03/2003,buigiaphuong.sv04163@school.edu.vn,0360012600,L084
SV04164,Mai Ngoc Giang,23/01/2003,maingocgiang.sv04164@school.edu.vn,0610505496,L084
SV04165,Dang Quang Em,01/10/2005,dangquangem.sv04165@school.edu.vn,0937589423,L084
SV04166,Nguyen Kim Trang,23/06/2002,nguyenkimtrang.sv04166@school.edu.vn,0441022662,L084
SV04167,Phan Duc Cuong,07/12/2005,phanduccuong.sv04167@school.edu.vn,0975050591,L084
SV04168,Phan Huu Vinh,10/11/2005,phanhuuvinh.sv04168@school.edu.vn,0572085376,L084
SV04169,Duong Kim Cuong,25/10/2003,duongkimcuong.sv04169@school.edu.vn,0917352843,L084
SV04170,Bui Minh Oanh,08/01/2004,buiminhoanh.sv04170@school.edu.vn,0874543033,L084
SV04171,Ngo Van Thy,12/07/2003,ngovanthy.sv04171@school.edu.vn,0620537955,L084
SV04172,Vu Duc An,25/08/2004,vuducan.sv04172@school.edu.vn,0817047606,L084
SV04173,Do Thanh Oanh,19/12/2004,dothanhoanh.sv04173@school.edu.vn,0883154244,L084
SV04174,Tran Duc An,03/05/2004,tranducan.sv04174@school.edu.vn,0344124872,L084
SV04175,Pham Minh Oanh,28/07/2003,phamminhoanh.sv04175@school.edu.vn,0575563391,L084
SV04176,Ngo Kim Son,14/04/2002,ngokimson.sv04176@school.edu.vn,0712535911,L084
SV04177,Tran Duc Xuan,19/10/2003,tranducxuan.sv04177@school.edu.vn,0627816741,L084
SV04178,Nguyen Huu Thy,25/06/2004,nguyenhuuthy.sv04178@school.edu.vn,0664854883,L084
SV04179,Vo Quang An,14/01/2004,voquangan.sv04179@school.edu.vn,0453445569,L084
SV04180,Duong Van Quyen,28/09/2003,duongvanquyen.sv04180@school.edu.vn,0722072922,L084
SV04181,Bui Quang Uyen,08/02/2004,buiquanguyen.sv04181@school.edu.vn,0864772735,L084
SV04182,Tran Thi Linh,13/02/2002,tranthilinh.sv04182@school.edu.vn,0319446853,L084
SV04183,Phan Huu Hoa,24/10/2003,phanhuuhoa.sv04183@school.edu.vn,0633543176,L084
SV04184,Ly Van Binh,23/03/2005,lyvanbinh.sv04184@school.edu.vn,0969268252,L084
SV04185,Duong Thi Ha,14/05/2003,duongthiha.sv04185@school.edu.vn,0457939990,L084
SV04186,Mai Thi Tuan,05/02/2004,maithituan.sv04186@school.edu.vn,0313124670,L084
SV04187,Vu Thi Oanh,05/02/2003,vuthioanh.sv04187@school.edu.vn,0442720680,L084
SV04188,Truong Thi Ha,08/03/2002,truongthiha.sv04188@school.edu.vn,0712411608,L084
SV04189,Truong Kim An,08/05/2003,truongkiman.sv04189@school.edu.vn,0637459870,L084
SV04190,Luu Van Trang,14/12/2003,luuvantrang.sv04190@school.edu.vn,0954358030,L084
SV04191,Vu Thanh Bao,05/07/2004,vuthanhbao.sv04191@school.edu.vn,0923578158,L084
SV04192,Vu Gia Cuong,20/10/2002,vugiacuong.sv04192@school.edu.vn,0784943859,L084
SV04193,Do Quang Yen,12/10/2004,doquangyen.sv04193@school.edu.vn,0928473541,L084
SV04194,Vu Thi Khanh,02/09/2003,vuthikhanh.sv04194@school.edu.vn,0782861286,L084
SV04195,Vo Van Hung,08/02/2004,vovanhung.sv04195@school.edu.vn,0696915642,L084
SV04196,Duong Ngoc Hung,10/05/2003,duongngochung.sv04196@school.edu.vn,0556978506,L084
SV04197,Ngo Kim Dung,12/09/2003,ngokimdung.sv04197@school.edu.vn,0879103025,L084
SV04198,Do Thanh Phuc,15/07/2004,dothanhphuc.sv04198@school.edu.vn,0779800811,L084
SV04199,Do Minh Cuong,13/10/2003,dominhcuong.sv04199@school.edu.vn,0899678513,L084
SV04200,Dang Thanh Dung,19/09/2004,dangthanhdung.sv04200@school.edu.vn,0395280981,L085
SV04201,Vu Duc Khanh,11/01/2002,vuduckhanh.sv04201@school.edu.vn,0524055911,L085
SV04202,Bui Kim Xuan,08/11/2002,buikimxuan.sv04202@school.edu.vn,0941602516,L085
SV04203,Truong Thanh Trang,04/07/2003,truongthanhtrang.sv04203@school.edu.vn,0335509447,L085
SV04204,Tran Thanh Giang,17/02/2002,tranthanhgiang.sv04204@school.edu.vn,0710748026,L085
SV04205,Pham Van Nam,23/06/2002,phamvannam.sv04205@school.edu.vn,0668232424,L085
SV04206,Mai Minh Dung,12/11/2004,maiminhdung.sv04206@school.edu.vn,0754778621,L085
SV04207,Dinh Thi Nhu,10/07/2004,dinhthinhu.sv04207@school.edu.vn,0827062743,L085
SV04208,Mai Kim Vinh,07/07/2003,maikimvinh.sv04208@school.edu.vn,0318082254,L085
SV04209,Dang Kim Phuong,10/06/2004,dangkimphuong.sv04209@school.edu.vn,0645797680,L085
SV04210,Do Kim Yen,25/05/2004,dokimyen.sv04210@school.edu.vn,0393448792,L085
SV04211,Truong Thi Giang,26/02/2004,truongthigiang.sv04211@school.edu.vn,0571312885,L085
